id,nome,nome.1,dia_nasc,mes_nasc,ano_nasc,dia_morte,mes_morte,ano_morte
2620,Mario Cravo Neto,masculino,20.0,4.0,1947.0,9.0,8.0,2009.0
2631,Alan M. Richards,masculino,,,,,,
2649,Sérgio Buarque de Holanda,masculino,11.0,9.0,1902.0,24.0,4.0,1982.0
2653,Bruno Munari,masculino,,,1907.0,,,1998.0
2658,Graciliano Ramos,masculino,27.0,12.0,1892.0,20.0,3.0,1953.0
2671,José Efigenio Pinto Coelho,não cadastrado,,,,,,
2701,Sylvio Back,masculino,22.0,7.0,1937.0,,,
2703,Véra Stedile Zattera,feminino,,,1945.0,,,
2730,Nadja Peregrino,feminino,,,,,,
2746,Vinicius de Moraes,masculino,19.0,10.0,1913.0,9.0,7.0,1980.0
2751,Gregório de Matos,masculino,20.0,12.0,1636.0,26.0,11.0,1696.0
2767,Ronald de Carvalho,masculino,16.0,5.0,1893.0,15.0,2.0,1935.0
2774,Pedro Lyra,não cadastrado,,,,,,
2794,Oswald de Andrade,masculino,11.0,1.0,1890.0,22.0,10.0,1954.0
2816,Jorge de Lima,masculino,23.0,4.0,1893.0,15.0,11.0,1953.0
2822,Eduardo Alves da Costa,masculino,6.0,3.0,1936.0,,,
2839,Guilhermino Cesar,masculino,15.0,5.0,1908.0,7.0,12.0,1993.0
2844,Mário Faustino,masculino,22.0,10.0,1930.0,27.0,11.0,1962.0
2845,Benedito Nunes,masculino,21.0,11.0,1929.0,27.0,2.0,2011.0
2848,Roberto Piva,masculino,25.0,9.0,1937.0,3.0,7.0,2010.0
2851,Paulo Leminski,masculino,24.0,8.0,1944.0,7.0,6.0,1989.0
2853,Torquato Neto,masculino,9.0,11.0,1944.0,10.0,11.0,1972.0
2856,Menotti Del Picchia,masculino,20.0,3.0,1892.0,23.0,8.0,1988.0
2861,Lêdo Ivo,masculino,18.0,2.0,1924.0,23.0,12.0,2012.0
2869,Bia Wouk,feminino,,,1952.0,,,
2870,Fagundes Varela,não cadastrado,17.0,8.0,1841.0,18.0,2.0,1875.0
2878,Arnaldo Antunes,masculino,2.0,9.0,1960.0,,,
2880,Augusto Frederico Schmidt,masculino,18.0,4.0,1906.0,8.0,2.0,1965.0
2884,Augusto de Campos,masculino,14.0,2.0,1931.0,,,
2905,Maria Augusta Fonseca,não cadastrado,,,,,,
2933,Cassiano Nunes,não cadastrado,,,,,,
2965,A. Araujo de Barros,masculino,,,,,,
2977,Manuel Nogueira,masculino,,,,,,
2995,Arlindo Machado,masculino,17.0,7.0,1949.0,19.0,7.0,2020.0
3001,Edgard Braga,masculino,10.0,10.0,1897.0,9.0,9.0,1985.0
